date,cases,deaths,prev_date,cases_prev,dead_prev,cases_rel_diff,deaths_rel_diff
2020-05-13,280,5,2020-05-12,285,2,-0.017543859649122806,1.5
2020-05-12,285,2,2020-05-11,369,5,-0.22764227642276422,-0.6
2020-05-11,369,5,2020-05-10,255,6,0.4470588235294118,-0.16666666666666666
2020-05-10,255,6,2020-05-09,215,3,0.18604651162790697,1.0
2020-05-09,215,3,2020-05-08,171,2,0.2573099415204678,0.5
2020-05-08,171,2,2020-05-07,168,9,0.017857142857142856,-0.7777777777777778
2020-05-07,168,9,2020-05-06,330,5,-0.4909090909090909,0.8
2020-05-06,330,5,2020-05-05,190,5,0.7368421052631579,0.0
2020-05-05,190,5,2020-05-04,235,13,-0.19148936170212766,-0.6153846153846154
2020-05-04,235,13,2020-05-03,134,4,0.753731343283582,2.25
2020-05-03,134,4,2020-05-02,164,4,-0.18292682926829268,0.0
2020-05-02,164,4,2020-05-01,222,4,-0.26126126126126126,0.0
2020-05-01,222,4,2020-04-30,122,0,0.819672131147541,""
2020-04-30,122,0,2020-04-29,124,3,-0.016129032258064516,-1.0
2020-04-29,124,3,2020-04-28,172,0,-0.27906976744186046,""
2020-04-28,172,0,2020-04-27,68,10,1.5294117647058822,-1.0
2020-04-27,68,10,2020-04-26,112,4,-0.39285714285714285,1.5
2020-04-26,112,4,2020-04-25,70,1,0.6,3.0
2020-04-25,70,1,2020-04-24,105,2,-0.3333333333333333,-0.5
2020-04-24,105,2,2020-04-23,84,4,0.25,-0.5
2020-04-23,84,4,2020-04-22,61,1,0.3770491803278688,3.0
2020-04-22,61,1,2020-04-21,35,2,0.7428571428571429,-0.5
2020-04-21,35,2,2020-04-20,88,3,-0.6022727272727273,-0.3333333333333333
2020-04-20,88,3,2020-04-19,63,0,0.3968253968253968,""
2020-04-19,63,0,2020-04-18,51,1,0.23529411764705882,-1.0
2020-04-18,51,1,2020-04-17,10,4,4.1,-0.75
2020-04-17,10,4,2020-04-16,70,2,-0.8571428571428571,1.0
2020-04-16,70,2,2020-04-15,49,2,0.42857142857142855,0.0
2020-04-15,49,2,2020-04-14,58,3,-0.15517241379310345,-0.3333333333333333
2020-04-14,58,3,2020-04-13,52,0,0.11538461538461539,""
2020-04-13,52,0,2020-04-12,34,3,0.5294117647058824,-1.0
2020-04-12,34,3,2020-04-11,37,0,-0.08108108108108109,""
2020-04-11,37,0,2020-04-10,61,1,-0.39344262295081966,-1.0
2020-04-10,61,1,2020-04-09,56,3,0.08928571428571429,-0.6666666666666666
2020-04-09,56,3,2020-04-08,30,4,0.8666666666666667,-0.25
2020-04-08,30,4,2020-04-07,38,0,-0.21052631578947367,""
2020-04-07,38,0,2020-04-06,29,2,0.3103448275862069,-1.0
2020-04-06,29,2,2020-04-05,35,1,-0.17142857142857143,1.0
2020-04-05,35,1,2020-04-04,0,0,"",""
2020-04-04,0,0,2020-04-03,43,0,-1.0,""
2020-04-03,43,0,2020-04-02,26,0,0.6538461538461539,""
2020-04-02,26,0,2020-04-01,25,0,0.04,""
2020-04-01,25,0,2020-03-31,27,0,-0.07407407407407407,""
2020-03-31,27,0,2020-03-30,8,1,2.375,-1.0
2020-03-30,8,1,2020-03-29,15,1,-0.4666666666666667,0.0
2020-03-29,15,1,2020-03-28,16,1,-0.0625,0.0
2020-03-28,16,1,2020-03-27,0,0,"",""
2020-03-27,0,0,2020-03-26,33,0,-1.0,""
2020-03-26,33,0,2020-03-25,2,0,15.5,""
2020-03-25,2,0,2020-03-24,6,1,-0.6666666666666666,-1.0
2020-03-24,6,1,2020-03-23,10,0,-0.4,""
2020-03-23,10,0,2020-03-22,0,0,"",""
2020-03-22,0,0,2020-03-21,2,0,-1.0,""
2020-03-21,2,0,2020-03-20,0,0,"",""
2020-03-20,0,0,2020-03-19,0,0,"",""
2020-03-19,0,0,2020-03-18,1,0,-1.0,""
2020-03-18,1,0,2020-03-17,5,0,-0.8,""
2020-03-17,5,0,2020-03-16,6,0,-0.16666666666666666,""
2020-03-16,6,0,2020-03-15,3,0,1.0,""
2020-03-15,3,0,2020-03-14,"","","",""
2020-03-11,3,0,2020-03-10,"","","",""
2020-03-08,3,0,2020-03-07,"","","",""
2020-03-02,0,0,2020-03-01,0,0,"",""
2020-03-01,0,0,2020-02-29,0,0,"",""
2020-02-29,0,0,2020-02-28,0,0,"",""
2020-02-28,0,0,2020-02-27,0,0,"",""
2020-02-27,0,0,2020-02-26,0,0,"",""
