Date;Share;Open;High;Low;Close;Change;Traded Volume;Turnover;Last Price of the Day;Daily Traded Units;Daily Turnover
2020-01-02;1COV_X;41.5;42.61;41.5;42.18;;1238476.0;52390504.0;;;
2020-01-03;1COV_X;41.91;42.14;41.51;41.9;;1120410.0;46837760.0;;;
2020-01-06;1COV_X;41.0;41.0;39.17;39.89;;3648523.0;145104720.0;;;
2020-01-07;1COV_X;40.0;40.79;39.96;40.13;;1778527.0;71735312.0;;;
2020-01-08;1COV_X;40.24;41.03;39.94;40.83;;1891549.0;77046328.0;;;
2020-01-09;1COV_X;41.3;41.64;41.06;41.17;;1811161.0;74793432.0;;;
2020-01-10;1COV_X;41.21;41.44;40.64;40.64;;1361157.0;55698880.0;;;
2020-01-13;1COV_X;40.58;40.72;40.07;40.71;;1495159.0;60538508.0;;;
2020-01-14;1COV_X;40.62;41.02;40.27;40.5;;1202786.0;48864964.0;;;
2020-01-15;1COV_X;40.47;41.02;40.04;40.12;;1376075.0;55630844.0;;;
2020-01-16;1COV_X;40.16;40.81;39.94;40.59;;1151743.0;46661580.0;;;
2020-01-17;1COV_X;40.72;41.48;40.48;40.9;;1444122.0;59339768.0;;;
2020-01-20;1COV_X;40.94;41.11;40.44;40.83;;1048842.0;42770308.0;;;
2020-01-21;1COV_X;40.61;41.37;40.28;41.19;;1284748.0;52723316.0;;;
2020-01-22;1COV_X;42.5;42.83;40.48;40.5;;2470698.0;101696664.0;;;
2020-01-23;1COV_X;40.2;40.44;39.49;39.85;;1888301.0;75407416.0;;;
2020-01-24;1COV_X;40.26;40.63;39.69;39.76;;1254336.0;50178600.0;;;
2020-01-27;1COV_X;39.0;39.16;38.19;38.72;;2165452.0;83786104.0;;;
2020-01-28;1COV_X;38.9;39.36;38.49;39.33;;1364527.0;53301936.0;;;
2020-01-29;1COV_X;39.39;39.62;39.12;39.47;;1107779.0;43655456.0;;;
2020-01-30;1COV_X;39.19;39.73;38.89;39.04;;1513996.0;59329732.0;;;
2020-01-31;1COV_X;39.06;39.2;38.03;38.15;;1968454.0;75505968.0;;;
2020-02-03;1COV_X;38.1;38.33;37.44;37.72;;1679443.0;63416196.0;;;
2020-02-04;1COV_X;38.0;38.81;37.97;38.48;;1533255.0;58973272.0;;;
2020-02-05;1COV_X;38.53;38.71;38.34;38.71;;2362477.0;91141696.0;;;
2020-02-06;1COV_X;39.15;39.68;38.59;38.62;;1570112.0;61272064.0;;;
2020-02-07;1COV_X;39.15;39.26;37.86;38.15;;1468808.0;56219048.0;;;
2020-02-10;1COV_X;38.0;38.24;37.8;37.95;;1139189.0;43263104.0;;;
2020-02-11;1COV_X;38.21;38.92;37.95;38.82;;1429366.0;55185528.0;;;
2020-02-12;1COV_X;38.86;39.62;38.69;39.27;;1239081.0;48724736.0;;;
2020-02-13;1COV_X;39.12;39.46;38.51;38.94;;1097703.0;42705496.0;;;
2020-02-14;1COV_X;39.0;39.39;38.97;39.1;;962520.0;37718200.0;;;
2020-02-17;1COV_X;39.23;39.72;39.2;39.48;;895321.0;35331712.0;;;
2020-02-18;1COV_X;39.28;39.56;39.01;39.45;;1849071.0;72755368.0;;;
2020-02-19;1COV_X;39.76;41.1;39.64;40.61;;2828252.0;114704008.0;;;
2020-02-20;1COV_X;40.44;41.54;39.8;41.18;;2086385.0;85571384.0;;;
2020-02-21;1COV_X;41.14;41.14;39.7;39.96;;2796238.0;112083032.0;;;
2020-02-24;1COV_X;38.62;38.95;38.06;38.67;;2382301.0;91799258.95;;;
2020-02-25;1COV_X;39.0;39.1;38.25;38.41;;1752896.0;67669324.43;;;
2020-02-26;1COV_X;38.06;38.58;37.03;37.95;;2579980.0;97722704.69;;;
2020-02-27;1COV_X;37.06;37.6;36.12;36.16;;3699485.0;135415569.21;;;
2020-02-28;1COV_X;35.03;35.48;33.89;34.49;;4420674.0;153240117.58;;;
2020-03-02;1COV_X;35.2;35.25;33.31;33.98;;2416846.0;82495507.13;;;
2020-03-03;1COV_X;34.58;35.26;33.97;34.17;;2328916.0;80481832.46;;;
2020-03-04;1COV_X;34.36;35.14;34.12;35.06;;1996052.0;69759223.74;;;
2020-03-05;1COV_X;35.44;35.5;34.05;34.11;;2248852.0;77641712.5;;;
2020-03-06;1COV_X;33.28;33.75;32.48;32.82;;2673811.0;88139926.21;;;
2020-03-09;1COV_X;31.05;31.15;29.04;29.04;;4133341.0;123245932.27;;;
2020-03-10;1COV_X;29.59;30.85;28.78;29.2;;3293686.0;97629108.66;;;
2020-03-11;1COV_X;29.8;30.69;29.4;29.74;;2915215.0;87056970.36;;;
2020-03-12;1COV_X;28.35;28.69;25.48;25.72;;4774114.0;127538028.21;;;
2020-03-13;1COV_X;26.69;28.87;25.63;26.76;;4685381.0;126975712.35;;;
2020-03-16;1COV_X;25.48;25.62;23.54;24.9;;3776044.0;92829821.35;;;
2020-03-17;1COV_X;26.4;27.08;23.96;25.67;;2580612.0;65563696.76;;;
2020-03-18;1COV_X;24.61;25.8;23.8;25.3;;2486884.0;61667165.95;;;
